iter	Passed	Remaining
387	14107	4072
388	14144	4036
389	14177	3998
390	14213	3962
391	14252	3926
392	14283	3888
393	14325	3854
394	14360	3817
395	14398	3781
396	14436	3745
397	14470	3708
398	14502	3671
399	14542	3635
400	14577	3598
401	14611	3562
402	14647	3525
403	14682	3489
404	14716	3452
405	14754	3416
406	14790	3379
407	14829	3343
408	14867	3307
409	14913	3273
410	14961	3239
411	14999	3203
412	15038	3167
413	15075	3131
414	15111	3095
415	15142	3057
416	15179	3021
417	15216	2985
418	15256	2949
419	15288	2912
420	15328	2876
421	15363	2839
422	15396	2802
423	15430	2765
424	15468	2729
425	15501	2692
426	15536	2656
427	15571	2619
428	15610	2583
429	15647	2547
430	15681	2510
431	15718	2474
432	15756	2438
433	15790	2401
434	15836	2366
435	15897	2333
436	15933	2297
437	15968	2260
438	16007	2224
439	16043	2187
440	16079	2151
441	16114	2114
442	16149	2077
443	16183	2041
444	16216	2004
445	16254	1968
446	16290	1931
447	16321	1894
448	16356	1857
449	16394	1821
450	16430	1785
451	16467	1748
452	16500	1711
453	16537	1675
454	16571	1638
455	16604	1602
456	16643	1566
457	16678	1529
458	16711	1492
459	16749	1456
460	16787	1420
461	16822	1383
462	16865	1347
463	16899	1311
464	16936	1274
465	16973	1238
466	17007	1201
467	17041	1165
468	17078	1128
469	17114	1092
470	17148	1055
471	17183	1019
472	17219	982
473	17255	946
474	17290	910
475	17329	873
476	17366	837
477	17401	800
478	17437	764
479	17484	728
480	17533	692
481	17581	656
482	17621	620
483	17662	583
484	17697	547
485	17754	511
486	17791	474
487	17828	438
488	17867	401
489	17902	365
490	17937	328
491	17972	292
492	18010	255
493	18046	219
494	18089	182
495	18121	146
496	18162	109
497	18200	73
498	18238	36
499	18277	0
